そこに署名してください。,そこにあなたの名前を書いてください。
彼は警官に変装して逃げた。,彼は警察官に似た服を着て逃げた。
もし万一明日雨が降れば、遠足は中止されるだろう。,もし明日、雨が降れば、散歩はダメだろう。
あなたは英語の宿題をもう終えましたか。,あなたは英語の宿題はやりましたか。
彼女は通りを横切った。,彼女は通りを渡り切った。
私の小さい弟は１日１０時間眠ります。,私の小さい弟は１日１０時間寝ました。
風邪をひくとよく気管支炎になります。,風邪を引くとよく喉の病気になります。
新しく選ばれた大統領はちょっとした詩人である。,新しく選ばれた大統領は、ちょっとした詩を書く人である。
明日の午後、いつでもお出でください。,明日の午後、いつでも来てください。
犬はつないで飼わなければなりません。,犬は放して育ててはいけません。
遊覧船が出てるらしいよ。,遊びながら見て回る船が出てるらしいよ。
科学技術において革命が起きた。,科学技術において激しい変化と発展が起きた。
警察は、逃亡者を追跡している。,警察は、逃げている者を追っている。
おつりはいらないよ、運転士さん。,釣り必要ないよ、運転士さん。
彼らは新入生をからかった。,彼らは新しく入った学校生をいじめた。
今朝彼女に何がおきたのですか。,今朝、彼女に何が起きたのですか。
彼は両親にいろいろ心配させた。,彼は親にいろいろ心配させた。
わざわざホテルまで車で来ていただくには及びません。,特にホテルまで車で来てもらう必要はありません。
彼女に近づこうとするといつも彼女は私を押しのける。,彼女に近づこうとすると、いつも彼女は私を避ける。
彼女がすぐに良くなる見込みはほとんどない。,彼女がすぐに良くなる可能性はほとんどない。
数日留守にします。,２、３日の間、留守にします。
彼は故意に彼女を危険にさらした。,彼は、彼女がことさらに危険な目に合うように動いた。
その小道は下って行く。,その細い道は下って行く。
私は怠惰であったことを恥じている。,私は怠けていたことが恥ずかしい。
お心遣い重ねて感謝します。,ポケットのお金に何度も感謝します。
今日私は道で見つけたキーを拾い上げた。,今日、私は道で鍵を見つけ、拾った。
物質が直接固体から気体に変わる過程を昇華という。,物が直接、形のあるものから自由に動くものに変わる過程を昇華という。
私は人前で話すのが嫌いだ。,私は人の前で話すのが嫌いだ。
私はよいレストランを捜して街へ出た。,私は良い料理店がどこにあるか、調べるために外へ出た。
彼は盛んにしている。,彼は元気にしている。
彼はたちまちそれを平らげた。,彼はすぐにそれを食べてしまった。
冬休みはどのように過ごしましたか。,冬の休みは、どのように過ごしましたか。
葛西は３０セーブをあげた。,葛西は野球の試合で支援点を３０記録した。
近頃はいかがですか。,最近は、調子はどうですか。
今日の太陽に浮かんだ小さな黒点。,今日の太陽に浮かんだ小さな黒い点。
彼らはあなたの教授を切望しています。,彼らは、あなたが教授になることを願っています。
蜂に刺されました。,花の中心部を求めて飛ぶ虫の針にやられました。
彼女は憂鬱だった。,彼女は気持ちが沈んでいた。
結婚式は来春行われるだろう。,結婚式は来年の春、行われるだろう。
夏休みどこかへ行きましたか。,夏の休みは、どこかへ行きましたか。
彼の不注意にはあきれてしまった。,彼の不注意は、あまりにひどいので、気分が悪くなった。
ここにたくさん植えよう。,ここに植物をたくさん育てよう。
合計額を調べてはどうですか。,全ての金額を調べてはどうですか。
今日ルート６６で衝突事故があったんだ。,今日、道路番号６６で交通事故があったんだ。
彼女は庭の花を摘んだ。,彼女は庭の花を取って入れた。
